,city,country,lat,lng,max temp,humidity,cloudiness,wind,description
123,Nizhnevartovsk,RU,60.69952782322426,76.68146540173419,254.16,99,90,2.08,overcast clouds
124,,,88.08441077692572,63.17398643705593,245.14,100,100,3.58,overcast clouds
125,Tamanrasset Province,DZ,23.992001204341875,4.920230425485883,287.93,17,2,1.31,clear sky
126,Araouane,ML,18.62691802341803,-3.570543506376751,293.66,10,57,4.3,broken clouds
127,,,-71.84584296643028,-36.748428218875056,269.75,91,95,7.82,overcast clouds
128,Namanga,KE,-2.6166242440159664,37.073633857195944,292.1,89,50,3.66,scattered clouds
129,Djohong,CM,7.20870894056371,14.914788750475637,291.17,31,42,0.73,scattered clouds
130,,,17.62228982733079,67.5838249357596,299.21,68,13,5.33,few clouds
131,Isiro,CD,3.152584966581813,27.673602219532185,291.02,58,84,0.75,broken clouds
132,,,-25.614554304865962,50.52689948728366,298.17,79,5,9.62,light rain
133,,,-30.30080658682573,35.41775737629405,297.45,91,94,4.86,overcast clouds
134,,,19.121139348080916,48.75831738561132,286.34,43,1,2.41,clear sky
135,,,22.60280912382879,44.0026229668957,283.14,44,43,2.45,scattered clouds
136,,,-38.86564317882298,-31.527047191322936,289.69,96,67,7.92,broken clouds
137,Tefé,BR,-3.1960801216061014,-63.89819258035826,296.31,96,100,1.24,overcast clouds
138,El Dubat,SO,9.012284007570187,49.87364245770871,292.3,88,2,6.94,clear sky
139,,,88.20898474024906,54.22012739301314,243.83,100,70,4.13,broken clouds
140,,,-39.675837667919055,62.42304052398711,288.26,86,68,5.52,broken clouds
141,,,-38.80289475319758,-27.240413503936168,289.7,96,100,7.72,overcast clouds
142,,,-40.981378268730246,57.7230000396153,289.1,95,39,9.27,scattered clouds
143,,,65.3829154229291,-70.0628885318832,248.25,78,99,2.32,overcast clouds
144,,,-13.332679917097238,59.11378645991999,299.18,75,12,6.82,few clouds
145,Marāt,SA,25.09183585722286,45.675942035450646,283.78,33,73,2.02,broken clouds
