City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Viet Tri,VN,2021-12-05 23:07:18,21.3019,105.4308,55.35,66,20,2.01
139,Makkaveyevo,RU,2021-12-05 23:07:18,51.7533,113.9454,20.12,93,18,1.5
140,Saint George,US,2021-12-05 23:08:18,37.1041,-113.5841,70.36,24,1,1.01
141,Metro,ID,2021-12-05 23:03:38,-5.1131,105.3067,73.62,97,100,4.41
142,Kirakira,SB,2021-12-05 23:05:17,-10.4544,161.9205,82.0,83,99,11.23
143,Kutum,SD,2021-12-05 23:08:19,14.2,24.6667,63.3,23,6,7.87
144,Kuah,MY,2021-12-05 23:06:35,6.3265,99.8432,78.1,71,78,14.45
145,Vila Velha,BR,2021-12-05 23:04:18,-20.3297,-40.2925,78.75,87,40,7.0
146,Yellowknife,CA,2021-12-05 23:08:19,62.456,-114.3525,-20.58,92,22,4.94
147,Roma,US,2021-12-05 23:08:20,43.2128,-75.4557,40.12,76,90,8.05
148,Wagga Wagga,AU,2021-12-05 23:08:20,-35.1167,147.3667,65.61,48,100,16.87
149,Mar Del Plata,AR,2021-12-05 23:08:20,-38.0023,-57.5575,63.88,77,9,15.01
150,Cape Canaveral,US,2021-12-05 23:08:21,28.4058,-80.6048,73.98,76,90,4.61
151,Novyye Burasy,RU,2021-12-05 23:08:21,52.1324,46.0714,23.95,76,50,5.26
152,Vila Franca Do Campo,PT,2021-12-05 23:04:02,37.7167,-25.4333,64.2,85,37,3.8
153,Cape Town,ZA,2021-12-05 23:08:09,-33.9258,18.4232,61.27,90,91,3.0
154,Zaranj,AF,2021-12-05 23:08:22,30.9667,61.8833,51.13,49,1,4.14
155,Novikovo,RU,2021-12-05 23:08:22,51.1537,37.8879,27.95,66,100,5.21
156,Nueva Helvecia,UY,2021-12-05 23:08:22,-34.3,-57.2333,63.73,85,56,11.48
157,Geraldton,AU,2021-12-05 23:08:14,-28.7667,114.6,72.12,77,1,9.22
158,Helong,CN,2021-12-05 23:05:52,42.5397,128.9972,28.13,84,9,7.45
159,Wismar,DE,2021-12-05 23:08:23,53.9,11.4667,38.05,96,100,3.0
160,Muhos,FI,2021-12-05 23:08:23,64.808,25.9931,3.88,98,25,3.29
161,Bethel,US,2021-12-05 23:07:30,41.3712,-73.414,43.16,53,75,4.61
162,Madisonville,US,2021-12-05 23:05:43,37.3281,-87.4989,66.24,89,41,4.0
163,Carnarvon,AU,2021-12-05 23:08:24,-24.8667,113.6333,77.07,69,0,17.27
164,Portland,US,2021-12-05 23:08:24,45.5234,-122.6762,48.2,77,75,1.01
165,Pisco,PE,2021-12-05 23:04:18,-13.7,-76.2167,68.05,83,75,16.11
166,Ugoofaaru,MV,2021-12-05 23:08:24,5.6667,73.0,81.88,75,46,9.75
167,Clyde River,CA,2021-12-05 23:08:25,70.4692,-68.5914,6.94,93,100,24.25
168,San Cristobal,VE,2021-12-05 23:08:25,7.7669,-72.225,75.38,74,75,2.01
169,Gazli,UZ,2021-12-05 23:08:25,40.1333,63.45,40.28,79,0,8.9
170,Esperance,AU,2021-12-05 23:04:50,-33.8667,121.9,62.96,65,88,11.92
171,Guerrero Negro,MX,2021-12-05 23:07:24,27.9769,-114.0611,67.44,69,0,16.22
172,Madaoua,NE,2021-12-05 23:08:26,14.073,5.96,71.49,16,4,10.58
173,Ariquemes,BR,2021-12-05 23:05:05,-9.9133,-63.0408,74.7,98,98,0.92
174,Lagos,NG,2021-12-05 23:08:26,6.5833,3.75,79.74,85,86,4.29
175,Tiksi,RU,2021-12-05 23:08:27,71.6872,128.8694,-16.01,95,100,6.11
176,Ecatepec,MX,2021-12-05 23:06:58,19.6011,-99.0525,72.68,28,40,9.22
177,Sibolga,ID,2021-12-05 23:08:27,1.7427,98.7792,75.31,86,89,3.58
178,Georgetown,MY,2021-12-05 23:05:13,5.4112,100.3354,77.9,77,20,9.22
179,Alekseyevsk,RU,2021-12-05 23:08:27,57.8406,108.3492,19.92,95,100,8.1
180,Wonthaggi,AU,2021-12-05 23:08:28,-38.6044,145.5913,76.37,66,99,6.35
181,Chakrata,IN,2021-12-05 23:08:28,30.7,77.85,38.75,76,44,5.84
182,Qaanaaq,GL,2021-12-05 23:08:28,77.484,-69.3632,20.52,81,100,6.4
183,Masumbwe,TZ,2021-12-05 23:08:29,-3.6333,32.1833,65.59,79,100,2.53
184,Aspindza,GE,2021-12-05 23:08:29,41.5739,43.2483,32.47,75,8,5.46
185,Copacabana,CO,2021-12-05 23:08:29,6.3463,-75.5089,72.03,97,100,2.89
186,Buala,SB,2021-12-05 23:05:59,-8.145,159.5921,80.4,85,100,14.56
187,Havoysund,NO,2021-12-05 23:09:30,70.9963,24.6622,29.28,94,99,31.21
188,Santa Rosa,PH,2021-12-05 23:09:30,14.3122,121.1114,74.86,72,78,7.49
189,Kshenskiy,RU,2021-12-05 23:09:30,51.8408,37.7136,27.66,66,100,5.39
190,Novobirilyussy,RU,2021-12-05 23:09:31,56.9514,90.6661,30.9,90,100,13.71
191,Barra Do Garcas,BR,2021-12-05 23:09:31,-15.89,-52.2567,76.84,82,62,3.49
192,Tezu,IN,2021-12-05 23:09:32,27.9167,96.1667,64.22,60,91,3.06
193,Boa Vista,BR,2021-12-05 23:09:32,2.8197,-60.6733,84.18,61,75,9.22
194,Ribeira Grande,PT,2021-12-05 23:09:32,38.5167,-28.7,63.93,73,72,7.83
195,Longmont,US,2021-12-05 23:09:28,40.1672,-105.1019,61.84,49,1,16.11
196,Gourcy,BF,2021-12-05 23:09:33,13.2167,-2.35,76.08,13,2,9.8
197,Fort Nelson,CA,2021-12-05 23:08:39,58.8053,-122.7002,-9.69,96,5,0.11
198,Lafiagi,NG,2021-12-05 23:09:33,8.8667,5.4167,82.2,26,77,3.15
199,Saint-Philippe,RE,2021-12-05 23:06:13,-21.3585,55.7679,76.55,79,37,10.47
200,Fort Frances,CA,2021-12-05 23:07:00,48.5999,-93.4003,25.02,69,90,5.99
